,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
633,Zeytuni Zar,0.3,0.333,5,-10.573,0,0.0295,0.657,0.809,0.11,0.147,81.43,audio_features,2TdtVEbB1aQmBT6tC0Zaci,spotify:track:2TdtVEbB1aQmBT6tC0Zaci,https://api.spotify.com/v1/tracks/2TdtVEbB1aQmBT6tC0Zaci,https://api.spotify.com/v1/audio-analysis/2TdtVEbB1aQmBT6tC0Zaci,295507,3
634,River Man,0.473,0.118,8,-20.098,1,0.0339,0.852,0.735,0.112,0.0921,114.521,audio_features,3Uh7rAb7F0XGVpEEDwfH1k,spotify:track:3Uh7rAb7F0XGVpEEDwfH1k,https://api.spotify.com/v1/tracks/3Uh7rAb7F0XGVpEEDwfH1k,https://api.spotify.com/v1/audio-analysis/3Uh7rAb7F0XGVpEEDwfH1k,258680,5
635,Violín de becho,0.426,0.3,11,-9.717,0,0.0365,0.573,1.08e-05,0.127,0.525,116.445,audio_features,7hkyFS309jQBrwrbxGsJuH,spotify:track:7hkyFS309jQBrwrbxGsJuH,https://api.spotify.com/v1/tracks/7hkyFS309jQBrwrbxGsJuH,https://api.spotify.com/v1/audio-analysis/7hkyFS309jQBrwrbxGsJuH,209840,4
636,Between the Bars,0.519,0.0774,7,-23.593,0,0.0629,0.937,0.886,0.107,0.353,135.245,audio_features,3mtIUX9LrCpIUiAAv9SD4a,spotify:track:3mtIUX9LrCpIUiAAv9SD4a,https://api.spotify.com/v1/tracks/3mtIUX9LrCpIUiAAv9SD4a,https://api.spotify.com/v1/audio-analysis/3mtIUX9LrCpIUiAAv9SD4a,141200,3
637,Jerusalema (feat. Nomcebo Zikode) - Edit,0.903,0.545,1,-6.896,1,0.05,0.0226,8.2e-06,0.0571,0.87,124.011,audio_features,2R7gA9dAHTjASKU0wiTJok,spotify:track:2R7gA9dAHTjASKU0wiTJok,https://api.spotify.com/v1/tracks/2R7gA9dAHTjASKU0wiTJok,https://api.spotify.com/v1/audio-analysis/2R7gA9dAHTjASKU0wiTJok,188987,4
638,Running,0.36,0.391,6,-10.6,1,0.0528,0.296,0.000406,0.129,0.162,84.281,audio_features,5QvBXUm5MglLJ3iBfTX2Wo,spotify:track:5QvBXUm5MglLJ3iBfTX2Wo,https://api.spotify.com/v1/tracks/5QvBXUm5MglLJ3iBfTX2Wo,https://api.spotify.com/v1/audio-analysis/5QvBXUm5MglLJ3iBfTX2Wo,177227,4
639,Tapestry,0.641,0.334,1,-11.1,1,0.0755,0.848,0.0637,0.144,0.21,138.149,audio_features,63BVgRtQ4tWqz83bjl360U,spotify:track:63BVgRtQ4tWqz83bjl360U,https://api.spotify.com/v1/tracks/63BVgRtQ4tWqz83bjl360U,https://api.spotify.com/v1/audio-analysis/63BVgRtQ4tWqz83bjl360U,195562,4
640,Fire,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,audio_features,3DamFFqW32WihKkTVlwTYQ,spotify:track:3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/tracks/3DamFFqW32WihKkTVlwTYQ,https://api.spotify.com/v1/audio-analysis/3DamFFqW32WihKkTVlwTYQ,228347,4
641,Future Calling,0.742,0.741,11,-5.265,0,0.0774,0.0556,4.88e-05,0.11,0.638,122.044,audio_features,4jHN8dW0Wk9erjfZXoq8UI,spotify:track:4jHN8dW0Wk9erjfZXoq8UI,https://api.spotify.com/v1/tracks/4jHN8dW0Wk9erjfZXoq8UI,https://api.spotify.com/v1/audio-analysis/4jHN8dW0Wk9erjfZXoq8UI,183732,4
642,Barking,0.45,0.465,7,-7.867,0,0.268,0.185,0.0,0.0782,0.788,70.231,audio_features,2U5cq89GCnsR1yixKkC8d5,spotify:track:2U5cq89GCnsR1yixKkC8d5,https://api.spotify.com/v1/tracks/2U5cq89GCnsR1yixKkC8d5,https://api.spotify.com/v1/audio-analysis/2U5cq89GCnsR1yixKkC8d5,202827,3
643,Caught Me,0.767,0.718,9,-5.845,1,0.0433,0.208,3.76e-06,0.343,0.897,118.429,audio_features,3labT48xWDOOR5dWUUPCkk,spotify:track:3labT48xWDOOR5dWUUPCkk,https://api.spotify.com/v1/tracks/3labT48xWDOOR5dWUUPCkk,https://api.spotify.com/v1/audio-analysis/3labT48xWDOOR5dWUUPCkk,180200,4
